benchmark,model,summarizer,prefix_cache,primitive,budget,depth,scope,required_cohort,status,tasks_on_disk,runs_on_disk,runs_per_task_min,cohort_covered,rows_in_csv,source_dirs,notes,tasks_covered_abl25,runs_capped_1_abl25,runs_capped_2_abl25,runs_capped_3_abl25,runs_capped_4_abl25,runs_capped_5_abl25,tasks_covered_p100,runs_capped_1_p100,runs_capped_2_p100,runs_capped_3_p100,runs_capped_4_p100,runs_capped_5_p100,tasks_covered_tb20,runs_capped_1_tb20,runs_capped_2_tb20,runs_capped_3_tb20,runs_capped_4_tb20,runs_capped_5_tb20,tasks_covered_all,runs_capped_1_all,runs_capped_2_all,runs_capped_3_all,runs_capped_4_all,runs_capped_5_all
terminal-bench,Qwen3.5-35B-A3B,,,SS,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS,4k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b4k__ss,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,2k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b2k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,2k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b2k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,3k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b3k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,3k,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/qwen35b/d05__b3k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,3k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b3k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,4k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b4k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SS-partial,4k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b4k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,2k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b2k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,2k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b2k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,3k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b3k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,3k,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/qwen35b/d05__b3k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,3k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b3k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,4k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b4k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-full,4k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b4k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,2k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b2k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,2k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b2k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,3k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b3k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,3k,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/qwen35b/d05__b3k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,3k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b3k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,4k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b4k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,SU-partial,4k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b4k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,2k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b2k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,2k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b2k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,3k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b3k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,3k,0.5,in-scope,TB-40,COMPLETE,80,400,5,TB-80,0,ICLR_results/terminalbench/main/qwen35b/d05__b3k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40,60,80,100,80,80,160,240,320,400
terminal-bench,Qwen3.5-35B-A3B,,,TR,3k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b3k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,4k,0.3,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d03__b4k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,4k,0.7,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/d07__b4k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TR,27k,0.5,out-of-scope,,EXTRA,80,320,0,TB-80,0,ICLR_results/terminalbench/main/qwen35b/d05__b27k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40,60,80,80,80,80,160,240,320,320
terminal-bench,Qwen3.5-35B-A3B,,,TRC,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/di__b2k__trc,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TRC,3k,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/qwen35b/di__b3k__trc,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
terminal-bench,Qwen3.5-35B-A3B,,,TRC,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/di__b4k__trc,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TRC+SS,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/di__b2k__trc-ss,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TRC+SS,3k,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/qwen35b/di__b3k__trc-ss,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
terminal-bench,Qwen3.5-35B-A3B,,,TRC+SS,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/di__b4k__trc-ss,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TRC+SU,2k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/di__b2k__trc-su,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,,TRC+SU,3k,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/qwen35b/di__b3k__trc-su,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
terminal-bench,Qwen3.5-35B-A3B,,,TRC+SU,4k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/ablation/qwen35b/di__b4k__trc-su,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,FC,inf,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__binf__fc,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,OTRC,inf,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__binf__otrc,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,OTRC+SS-partial,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__b3k__otrc-ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,OTRC+SU-partial,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__b3k__otrc-su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,OTRC+TR,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__b3k__otrc-tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,SS,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/d05__b3k__ss,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,SS-partial,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/d05__b3k__ss-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,SU-full,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/d05__b3k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,SU-partial,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/d05__b3k__su-partial,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,TR,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/d05__b3k__tr,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,TRC,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__b3k__trc,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,TRC+SS,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__b3k__trc-ss,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,,OFF,TRC+SU,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/prefix_cache_ablation/qwen35b-noprefixcache/di__b3k__trc-su,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,Gemma-4-12B,,SU-full,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/model_ablation/qwen35b-sum-gemma4-12b/d05__b3k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,Gemma-4-12B,,TRC+SU,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/model_ablation/qwen35b-sum-gemma4-12b/di__b3k__trc-su,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,Qwen3.5-9B,,SU-full,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/model_ablation/qwen35b-sum-qwen35-9b/d05__b3k__su-full,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Qwen3.5-35B-A3B,Qwen3.5-9B,,TRC+SU,3k,0.5,in-scope,TB-15,COMPLETE,15,45,3,TB-15,0,ICLR_results/terminalbench/model_ablation/qwen35b-sum-qwen35-9b/di__b3k__trc-su,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,15,15,15,15,30,45,45,45
terminal-bench,Devstral-Small-2-24B,,,FC,inf,0.5,in-scope,TB-40,PARTIAL,80,290,1,TB-80,0,ICLR_results/terminalbench/main/devstral24b/di__binf__fc;ICLR_results/terminalbench/main/p80_rootless/devstral24b/di__binf__fc;ICLR_results/terminalbench/main/p80_subuid_required/devstral24b/di__binf__fc,only 1/3 runs/task,0,0,0,0,0,0,0,0,0,0,0,0,20,20,37,54,67,80,80,80,143,206,248,290
terminal-bench,Devstral-Small-2-24B,,,OTRC,inf,0.5,in-scope,TB-40,COMPLETE,40,120,3,TB-40,0,ICLR_results/terminalbench/main/devstral24b/di__binf__otrc,,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,39,39,39,40,40,80,120,120,120
